event_id,url,title,pub_date,gdelt_lat,gdelt_lon,fetch_method,article_chars,is_hwc_event,species,event_type,humans_killed,humans_injured,animals_killed,animals_injured,event_date,primary_location,location_type,location_notes,gdelt_location_match,confidence,extraction_notes,_error,geocoded_address,final_lat,final_lon,geocode_source,gdelt_all_india_locations_hint
9dc3e91a-287e-4a20-b0f8-bd8153f3a643,https://timesofindia.indiatimes.com/city/mysuru/ktaka-forest-dept-begins-railway-barricade-work-to-reduce-human-elephant-conflict-near-bandipur/articleshow/129933438.cms,Ktaka forest dept begins railway barricade work to reduce human - elephant conflict near Bandipur | Mysuru News,20260331T201500Z,17873.0,11.6667,selenium,2493,False,,,,,,,,,,,,high,Article discusses mitigation efforts and past incidents but does not describe a specific HWC event.,,,17873.0,11.6667,gdelt_fallback,
dfa7704d-325f-49f9-b9d5-c3e7d15ec828,https://bangaloremirror.indiatimes.com/bangalore/others/thermal-drones-transform-wildlife-tracking-across-karnataka/articleshow/129910664.cms,Thermal drones transform wildlife tracking across Karnataka,20260331T053000Z,17688.0,13.5,jina,4942,False,,,,,,,,,,,,high,"No specific HWC event described, only technology deployment",,,17688.0,13.5,gdelt_fallback,
7a086d63-5358-45a2-ab36-337e7e2e4eb1,https://www.thehindu.com/elections/pinarayi-signals-willingness-to-accept-satheesans-challenge-for-a-one-to-one-debate-on-ldf-governance/article70802958.ece,Kerala Assembly Elections 2026 : Pinarayi signals willingness to accept Satheesan challenge for a one - to - one debate on LDF governance,20260330T201500Z,17699.0,9.98333,selenium,2742,False,,,,,,,,,,,,high,"No specific HWC incident reported, only mentions of human-wildlife conflict in general.",,,17699.0,9.98333,gdelt_fallback,
a2d74664-e4c6-42cd-b781-2f1a148113c8,https://www.thehindu.com/news/national/kerala/pinarayi-signals-willingness-to-accept-satheesans-challenge-for-a-one-to-one-debate-on-ldf-governance/article70802958.ece,Pinarayi signals willingness to accept Satheesan challenge for a one - to - one debate on LDF governance,20260330T150000Z,17699.0,9.98333,selenium,2742,False,,,,,,,,,,,,high,"No specific HWC incident reported, only mentions of human-wildlife conflict as a topic for debate.",,,17699.0,9.98333,gdelt_fallback,
cf273085-055d-4c53-9704-7ee10f451f42,https://www.mid-day.com/mumbai/mumbai-news/article/turning-conflict-into-opportunity-maharashtra-mlas-learn-from-jawai-leopards-in-rajasthan-23623202,Turning conflict into opportunity : Maharashtra MLAs learn from Jawai leopards in Rajasthan,20260330T050000Z,70178.0,19.2,failed_selenium,,,,,,,,,,,,,,,,selenium could not load page,,70178.0,19.2,gdelt_fallback_no_text,
1fb05733-ffe8-48f4-9151-2ee479b1edd5,https://economictimes.indiatimes.com/news/india/overpass-connecting-multiple-wildlife-habitats-opened-for-one-sided-traffic-near-ranthambore/articleshow/129877254.cms,Overpass connecting multiple wildlife habitats opened for one - sided traffic near Ranthambore,20260329T080000Z,17847.0,26.9167,selenium,1601,False,,,,,,,,,,,,high,"No specific HWC event reported, only infrastructure development.",,,17847.0,26.9167,gdelt_fallback,
4c958760-5c14-4066-a6bd-fbf5eb0aae5e,https://timesofindia.indiatimes.com/city/patna/bau-scientists-demonstrate-nilgai-domestication-to-reduce-crop-damage/articleshow/129864929.cms,BAU scientists demonstrate nilgai domestication to reduce crop damage | Patna News,20260328T134500Z,17615.0,25.1833,selenium,2363,True,nilgai,crop_raid,,,,,,,state,"Bihar, India",,medium,"Event describes ongoing crop damage issue, no specific incident date or location",,,17615.0,25.1833,gdelt_fallback,
e8c68dc3-feec-4524-9c0a-f6626a08a4fa,https://www.mid-day.com/mumbai/mumbai-news/article/maharashtra-to-get-wildlife-research-institute-near-shahapur-gets-nod-23622986,Maharashtra : Wildlife research institute planned in Shahapur to boost conservation efforts,20260328T060000Z,17696.0,14.0,failed_selenium,,,,,,,,,,,,,,,,selenium could not load page,,17696.0,14.0,gdelt_fallback_no_text,
68e503bd-3d06-4493-9c98-3a1647a9a693,https://www.thehindu.com/elections/tamil-nadu-assembly/call-to-save-river-bhavani-echoes-as-mettupalayam-braces-for-poll/article70793863.ece,Call to save river Bhavani echoes as Mettupalayam braces for poll,20260327T183000Z,17883.0,10.9333,selenium,3491,True,elephant,corridor_conflict,,,,,,"Mettupalayam, Coimbatore, Tamil Nadu, India",town,human-elephant conflict mentioned,,medium,Conflict mentioned but no specific incident date or details,,"Mettupalayam, Tamil Nadu, India",11.3027849,76.9383385,google_maps,
7a60b5d3-fc08-4015-9bbd-261bdbee15dd,https://www.thehindu.com/news/national/kerala/kerala-assembly-elections-2026-wildlife-incursion-a-vote-catcher-issue-in-many-constituencies/article70792944.ece,"Kerala Assembly Elections 2026 : Wildlife incursion , a vote - catcher issue in many constituencies",20260327T154500Z,17702.0,9.85,selenium,4724,True,elephant,attack_on_human,1,,,,2026-03-24,"Kallar Factory division, Munnar, Kerala, India",forest_division,"Munnar area, known for tea plantations",,high,Specific incident reported in the article.,,"32V6+RPW, Kallar Estate, Kannan Devan Hills, Kerala 685612, India",10.0946249,77.01182460000001,google_maps,
a7f8353f-3d2c-4ffc-9395-bc20fda04ba4,https://www.freepressjournal.in/pune/nashik-district-planning-committee-clears-20-crore-for-human-leopard-conflict-measures,Nashik : District Planning Committee Clears ₹20 Crore For Human - Leopard Conflict Measures,20260326T113000Z,17773.0,20.0833,jina,5233,False,,,,,,,,,,,,high,"Article discusses budget allocation and measures for human-leopard conflict, no specific event mentioned.",,,17773.0,20.0833,gdelt_fallback,
