url,title,seendate,domain,language,sourcecountry,query_keyword,query_start,query_end,url_mobile,socialimage,gkg_found,source_name,v2tone,theme_score,matched_themes,v2themes_raw,n_india_locations,best_lat,best_lon,best_location_name,best_adm1,all_india_locations,v2persons,sharing_image,event_id
https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece,"Congress to highlight Sabarimala , corruption charges ; UDF confident of sweeping mandate in Kerala , says KPCC chief Sunny Joseph",20260323T161500Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece/amp/,https://th-i.thgim.com/public/incoming/gioyr3/article70775505.ece/alternates/LANDSCAPE_1200/KPCC-president-GDHF9M9MS.3.jpg.jpg,True,thehindu.com,-2.37113402061856,3.0,AFFECT; ENV_POACHING; KILL,"CORRUPTION,6204;WB_2601_TRADE_LINKAGES_SPILLOVERS_AND_CONNECTIVITY,3996;WB_772_TRADE_FACILITATION_AND_LOGISTICS,3996;WB_699_URBAN_DEVELOPMENT,3996;WB_866_CONNECTIVITY_AND_LAGGING_REGIONS,3996;WB_698_TRADE,3996;WB_797_NATIONAL_URBAN_POLICIES,3996;WB_470_EDUCATION,3421;EDUCATION,3366;SOC_POINTSOFINTEREST_SCHOOLS,3366;TAX_FNCACT_LEADER,1166;TAX_FNCACT_LEADER,2291;LEGISLATION,4369;EPU_POLICY_LAW,4369;",16.0,17698.0,11.8333,"Kottayam, Kerala, India",IN13,"Kottayam, Kerala, India (17698.000,11.833); Palakkad, Kerala, India (17867.000,10.773); Pathanamthitta, Kerala, India (17706.000,9.267); Idukki, Kerala, India (17702.000,9.850); Thalassery, Kerala, India (17698.000,11.748); Thalassery, Kerala, India (17698.000,11.748); Thalassery, Kerala, India (17698.000,11.748); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Sabarimala, Kerala, India (17706.000,9.433); Sabarimala, Kerala, India (17706.000,9.433)","Sunny Joseph,82;Ayyappa Sangamam,226;Ayyappa Sangamam,939;Jimmy George,3525;Pinarayi Vijayan,1128;Rahul Gandhi,1179;Rahul Gandhi,1334;Rahul Gandhi,1424;Oommen Chandy,3113",https://th-i.thgim.com/public/incoming/gioyr3/article70775505.ece/alternates/LANDSCAPE_1200/KPCC-president-GDHF9M9MS.3.jpg.jpg,7d624892-9b3f-5014-a553-2413d197e95e
https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/articleshow/129746628.cms,"Endangered wild cat sighted in Jaisalmer , forest dept ramps up monitoring | Jaipur News",20260323T084500Z,timesofindia.indiatimes.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/amp_articleshow/129746628.cms,"https://static.toiimg.com/thumb/msid-129746665,width-1280,height-720,imgsize-54450,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",True,indiatimes.com,-3.60205831903945,3.0,CRISISLEX_T03_DEAD; ENV_SPECIESENDANGERED; KILL,"UNREST_BELLIGERENT,2175;TAX_FNCACT_SHEPHERDS,2703;TAX_FNCACT_SHEPHERDS,3776;CRISISLEX_CRISISLEXREC,3687;CRISISLEX_T02_INJURED,3687;CRISISLEX_T03_DEAD,3687;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,56;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,105;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,227;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,519;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2232;WB_566_ENVIRONMENT_A",16.0,17848.0,26.9167,"Jaisalmer, Rajasthan, India",IN24,"Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Ghotaru, Rajasthan, India (17848.000,27.317); Ghotaru, Rajasthan, India (17848.000,27.317); Ghotaru, Rajasthan, India (17848.000,27.317); Ghotaru, Rajasthan, India (17848.000,27.317); Thar Desert, India (General), India (17848.000,26.984); Thar Desert, India (General), India (17848.000,26.984); Thar Desert, India (General), India (17848.000,26.984); Jodhpur, Rajasthan, India (17855.000,26.287)","Devendra Bhati,2292;Sumit Dookia,3057;Devendra Singh Bhati,1010;Ranjit Singh Dholiya,2315","https://static.toiimg.com/thumb/msid-129746665,width-1280,height-720,imgsize-54450,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",ce5bc369-8c92-555e-942d-e0ea2d369754
https://pragativadi.com/woman-dies-after-monkey-pushes-her-from-roof-in-athagarh/,Monkey Attack Athagarh Woman Death Sparks Outrage - Pragativadi I Latest Odisha News in English I Breaking News,20260322T190000Z,pragativadi.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,,https://pragativadi.com/wp-content/uploads/2026/03/monkey-attack.png,True,pragativadi.com,-8.7378640776699,2.0,CRISISLEX_T03_DEAD; KILL; WOUND,"TAX_FNCACT_VILLAGERS,231;TAX_FNCACT_VILLAGERS,695;TAX_FNCACT_VILLAGERS,1280;TAX_FNCACT_VILLAGERS,1799;TAX_FNCACT_VILLAGERS,2104;WB_696_PUBLIC_SECTOR_MANAGEMENT,2190;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,2190;WB_723_PUBLIC_ADMINISTRATION,2190;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,2190;GENERAL_HEALTH,682;GENERAL_HEALTH,1381;MEDICAL,682;MEDICAL,1381;SOC_POINTSOFINTEREST_HOSPITAL,682;SOC_POIN",11.0,17736.0,24.7333,"Rajnagar, Madhya Pradesh, India",IN35,"Rajnagar, Madhya Pradesh, India (17736.000,24.733); Rajnagar, Madhya Pradesh, India (17736.000,24.733); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533); Athagarh, Orissa, India (17810.000,20.533)","Mahendra Parida,1358;Abhiram Sahu,405;Sumanti Kumari Mohanty,2036;Zilla Parishad,1308;Dilip Kumar Behera,1769;Pradeep Kumar Sahu,564;Shushama Sahu,969;Shushama Sahu,1492;Sulochana Sahu,382",https://pragativadi.com/wp-content/uploads/2026/03/monkey-attack.png,3a71b181-459d-5257-8f7a-027cd3678945
https://www.thehindu.com/elections/kerala-assembly/voting-behaviour-of-christian-community-draws-parties-attention/article70772428.ece,Kerala Assembly Elections 2026 : Voting behaviour of Christian community draws partie attention,20260322T160000Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/elections/kerala-assembly/voting-behaviour-of-christian-community-draws-parties-attention/article70772428.ece/amp/,https://www.thehindu.com/theme/images/og-image.png,True,thehindu.com,-1.80288461538462,2.0,AFFECT,"LEADER,4343;TAX_FNCACT_PRESIDENT,4343;DEMOCRACY,308;DEMOCRACY,1937;DEMOCRACY,3880;TAX_RELIGION_MUSLIM,184;TAX_ETHNICITY_MUSLIM,184;ALLIANCE,3800;WB_2433_CONFLICT_AND_VIOLENCE,4233;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,4233;SCIENCE,4713;TAX_FNCACT_SCIENTIST,4713;UNGP_FORESTS_RIVERS_OCEANS,2944;UNREST_BELLIGERENT,1747;TAX_RELIGION_CATHOLIC,3361;TAX_RELIGION_CATHOLIC,3443;TAX_RELIGION_CATHOLIC,4359",12.0,70298.0,9.49417,"Alappuzha, Kerala, India",IN13,"Alappuzha, Kerala, India (70298.000,9.494); Aranmula, Kerala, India (17706.000,9.333); Kundara, Chhattisgarh, India (17814.000,18.933); Chengannur, Kerala, India (70298.000,9.333); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Piravom, Kerala, India (70298.000,9.867); Mahatma, Rajasthan, India (17843.000,28.629); Kollam, Kerala, India (17703.000,11.450); Pathanamthitta, Kerala, India (17706.000,9.267); Mavelikara, Kerala, India (70298.000,9.267); Kottayam, Kerala, India (17698.000,11.833)","Biju Sebastian,4331;Thomas Varghese Amayil,2708",https://www.thehindu.com/theme/images/og-image.png,917ccf42-3e92-5a06-b4c8-bd8013605771
https://www.thehindu.com/news/national/karnataka/human-wildlife-conflict-in-kodagu-ponnanna-seeks-more-central-funding/article70769294.ece,Human - wildlife conflict in Kodagu : Ponnanna seeks more Central funding,20260321T141500Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/news/national/karnataka/human-wildlife-conflict-in-kodagu-ponnanna-seeks-more-central-funding/article70769294.ece/amp/,https://th-i.thgim.com/public/incoming/r2w5x/article70769369.ece/alternates/LANDSCAPE_1200/2303_21_3_2026_18_29_41_1_KODAGUPC.JPEG,True,thehindu.com,-3.19410319410319,0.0,,,8.0,17689.0,12.4167,"Madikeri, Karnataka, India",IN19,"Madikeri, Karnataka, India (17689.000,12.417); Madikeri, Karnataka, India (17689.000,12.417); Bengaluru, Karnataka, India (70159.000,12.983); Kodagu, Karnataka, India (17689.000,12.417); Kodagu, Karnataka, India (17689.000,12.417); Kodagu, Karnataka, India (17689.000,12.417); Kodagu, Karnataka, India (17689.000,12.417); Kodagu, Karnataka, India (17689.000,12.417)","Arun Machaiah,2727;Mantar Gowda,1408;Veena Achaiah,2754",https://th-i.thgim.com/public/incoming/r2w5x/article70769369.ece/alternates/LANDSCAPE_1200/2303_21_3_2026_18_29_41_1_KODAGUPC.JPEG,811ad97e-2906-530d-baf8-2e4c95fd8c11
https://www.barandbench.com/news/nagpur-bench-of-bombay-high-court-turns-23-news-reports-into-suo-motu-pils-in-2026,Nagpur Bench of Bombay High Court turned 23 news reports into suo motu PILs in 2026,20260321T090000Z,barandbench.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.barandbench.com/amp/story/news/nagpur-bench-of-bombay-high-court-turns-23-news-reports-into-suo-motu-pils-in-2026,https://media.assettype.com/barandbench%2F2021-01%2F5125d0fe-112a-4434-9f03-340e280c2f94%2FNagpur_Bench.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,True,barandbench.com,-3.46715328467153,2.0,AFFECT; KILL,"TRAFFIC,1462;MANMADE_DISASTER_IMPLIED,240;WB_813_URBAN_GOVERNANCE_AND_CITY_SYSTEMS,3269;WB_699_URBAN_DEVELOPMENT,3269;WB_1720_CITY_STRATEGIES_AND_TERRITORIAL_PLANNING,3269;WB_816_STRATEGIC_URBAN_PLANNING,3269;TAX_WORLDMAMMALS_HUMAN,3124;TAX_FNCACT_FACULTY,1106;WB_1199_WATER_SUPPLY_AND_SANITATION,2470;WB_138_WATER_SUPPLY,2470;TAX_FNCACT_JUDGES,2197;EPU_POLICY_POLITICAL,866;GENERAL_HEALTH,1025;MEDIC",14.0,17725.0,21.5533,"Dharni, Madhya Pradesh, India",IN35,"Dharni, Madhya Pradesh, India (17725.000,21.553); Umred, Maharashtra, India (17771.000,20.850); Hindustan, India (General), India (17857.000,28.000); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Nagpur, Maharashtra, India (17784.000,21.150); Chandrapur, Maharashtra, India (17763.000,19.950); Chandrapur, Maharashtra, India (17763.000,19.950); Andhari, Maharashtra, India (17786.000,20.267)","Balwant Wankhade,772",https://media.assettype.com/barandbench%2F2021-01%2F5125d0fe-112a-4434-9f03-340e280c2f94%2FNagpur_Bench.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,e7d20393-57f6-5658-8bc5-5453b4fa516f
https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece,Kodagu district accounts for 38 % of State human - wildlife conflict deaths : Minister,20260320T133000Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece/amp/,https://th-i.thgim.com/public/incoming/r56yho/article70765758.ece/alternates/LANDSCAPE_1200/6702_27_10_2025_19_10_54_1_ESHWARKHANDRE.JPG,True,thehindu.com,-1.25628140703518,3.0,ENV_POACHING; KILL,"WB_137_WATER,2042;WB_137_WATER,2172;WB_137_WATER,2195;EPU_CATS_MIGRATION_FEAR_FEAR,229;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,6;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,652;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2189;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2233;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2444;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2521;WB_1777_FORESTS,6;WB_1777_FORESTS,652;WB_",2.0,70159.0,12.9833,"Bengaluru, Karnataka, India",IN19,"Bengaluru, Karnataka, India (70159.000,12.983); Nanjangud, Karnataka, India (70160.000,12.120)","Kodagu Mlas,542;Manoj Kumar,2569;Mantar Gowda,579;Kumar Pushkar,2503;Manoj Rajan,2555;Darshan Dhruvanarayan,611",https://th-i.thgim.com/public/incoming/r56yho/article70765758.ece/alternates/LANDSCAPE_1200/6702_27_10_2025_19_10_54_1_ESHWARKHANDRE.JPG,c7053939-52c9-5680-8837-b1e830534092
https://www.mid-day.com/mumbai/mumbai-news/article/mumbai-conflict-emerges-over-sgnp-boundary-wall-as-locals-resist-restricted-forest-access-23621661,Mumbai : Conflict emerges over SGNP boundary wall as locals resist restricted forest access,20260320T031500Z,mid-day.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.mid-day.com/amp/mumbai/mumbai-news/article/mumbai-conflict-emerges-over-sgnp-boundary-wall-as-locals-resist-restricted-forest-access-23621661,https://images.mid-day.com/images/images/2026/mar/National-Park-a-1773962313904_d.png,True,mid-day.com,-6.86813186813187,0.0,,"MOVEMENT_GENERAL,927;USPEC_UNCERTAINTY1,321;EPU_CATS_MIGRATION_FEAR_FEAR,1454;TAX_FNCACT_OFFICIALS,1162;UNGP_FORESTS_RIVERS_OCEANS,81;AGRICULTURE,1113;TAX_FNCACT_FARMERS,1113;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,186;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,472;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,779;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,939;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,1129",7.0,70184.0,18.975,"Bombay, Maharashtra, India",IN16,"Bombay, Maharashtra, India (70184.000,18.975); Nagla, Haryana, India (17661.000,30.249); Nagla, Haryana, India (17661.000,30.249); Nagla, Haryana, India (17661.000,30.249); Nagla, Haryana, India (17661.000,30.249); Mumbai, Maharashtra, India (70184.000,18.975); Mumbai, Maharashtra, India (70184.000,18.975)",,https://images.mid-day.com/images/images/2026/mar/National-Park-a-1773962313904_d.png,36de23ee-378f-57db-8d18-99c5191f7d72
https://www.livelaw.in/high-court/kerala-high-court/roadmap-human-wildlife-conflict-aralam-wayanad-review-may-526754,"Kerala Govt Proposes Three - Pillar Strategy To Address Human - Wildlife Conflict , Submits Report To High Court",20260317T180000Z,livelaw.in,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.livelaw.in/amp/high-court/kerala-high-court/roadmap-human-wildlife-conflict-aralam-wayanad-review-may-526754,https://www.livelaw.in/h-upload/2022/09/01/433241-elephant.jpg,True,livelaw.in,-1.2012012012012,0.0,,"GENERAL_GOVERNMENT,798;EPU_POLICY_GOVERNMENT,798;USPEC_POLITICS_GENERAL1,911;MARITIME_INCIDENT,1757;MARITIME,1757;MANMADE_DISASTER_IMPLIED,1757;WB_1156_MONITORING_AND_EVALUATION_SYSTEMS,1313;WB_695_POVERTY,1313;WB_706_EVIDENCE_BASED_POLICY,1313;WB_1199_WATER_SUPPLY_AND_SANITATION,1615;WB_1199_WATER_SUPPLY_AND_SANITATION,1917;WB_138_WATER_SUPPLY,1615;WB_138_WATER_SUPPLY,1917;WB_137_WATER,1608;WB_13",1.0,17699.0,10.0,"State Of Kerala, Kerala, India",IN13,"State Of Kerala, Kerala, India (17699.000,10.000)","Baiju Paul Mathews,2176;Justice Jobin Sebastian,123",https://www.livelaw.in/h-upload/2022/09/01/433241-elephant.jpg,fa6ab2fc-069b-5055-bbd0-af79b0c909b2
https://timesofindia.indiatimes.com/city/bhubaneswar/65-year-old-trampled-to-death-by-tusker/articleshow/129615762.cms,65 - year - old trampled to death by tusker | Bhubaneswar News,20260316T221500Z,timesofindia.indiatimes.com,English,India,elephant attack,2025-12-24,2026-03-24,https://timesofindia.indiatimes.com/city/bhubaneswar/65-year-old-trampled-to-death-by-tusker/amp_articleshow/129615762.cms,https://static.toiimg.com/photo/msid-47529300/47529300.jpg,True,indiatimes.com,-4.82456140350877,2.0,CRISISLEX_T03_DEAD; KILL,"TAX_MILITARY_TITLE_OFFICER,794;TAX_FNCACT_OFFICER,794;KILL,538;KILL,643;AGRICULTURE,406;CRISISLEX_T03_DEAD,196;TAX_FNCACT_OFFICIALS,277;TAX_FNCACT_OFFICIALS,593;TAX_FNCACT_OFFICIALS,1061;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,97;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,142;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,259;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,390;WB_566_ENVIRONMENT_AND_NATURAL_RES",4.0,17811.0,19.3833,"Ganjam, India (General), India",IN00,"Ganjam, India (General), India (17811.000,19.383); Berhampur, Orissa, India (17811.000,19.317); Phulbani, Orissa, India (70217.000,20.467); Bhanjanagar, Orissa, India (70222.000,19.933)","Himansu Sekhar Mohanty,766;Krupasindhu Swain,216",https://static.toiimg.com/photo/msid-47529300/47529300.jpg,9298671e-98ce-5c80-8a70-5e8c080e3c46
