url,title,seendate,domain,language,sourcecountry,query_keyword,query_start,query_end,url_mobile,socialimage,gkg_found,source_name,v2tone,theme_score,matched_themes,v2themes_raw,n_india_locations,best_lat,best_lon,best_location_name,best_adm1,all_india_locations,v2persons,sharing_image,event_id
https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece,"Congress to highlight Sabarimala , corruption charges ; UDF confident of sweeping mandate in Kerala , says KPCC chief Sunny Joseph",20260323T161500Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece/amp/,https://th-i.thgim.com/public/incoming/gioyr3/article70775505.ece/alternates/LANDSCAPE_1200/KPCC-president-GDHF9M9MS.3.jpg.jpg,True,thehindu.com,-2.37113402061856,3.0,AFFECT; ENV_POACHING; KILL,"CORRUPTION,6204;WB_2601_TRADE_LINKAGES_SPILLOVERS_AND_CONNECTIVITY,3996;WB_772_TRADE_FACILITATION_AND_LOGISTICS,3996;WB_699_URBAN_DEVELOPMENT,3996;WB_866_CONNECTIVITY_AND_LAGGING_REGIONS,3996;WB_698_TRADE,3996;WB_797_NATIONAL_URBAN_POLICIES,3996;WB_470_EDUCATION,3421;EDUCATION,3366;SOC_POINTSOFINTEREST_SCHOOLS,3366;TAX_FNCACT_LEADER,1166;TAX_FNCACT_LEADER,2291;LEGISLATION,4369;EPU_POLICY_LAW,4369;",16.0,17698.0,11.8333,"Kottayam, Kerala, India",IN13,"Kottayam, Kerala, India (17698.000,11.833); Palakkad, Kerala, India (17867.000,10.773); Pathanamthitta, Kerala, India (17706.000,9.267); Idukki, Kerala, India (17702.000,9.850); Thalassery, Kerala, India (17698.000,11.748); Thalassery, Kerala, India (17698.000,11.748); Thalassery, Kerala, India (17698.000,11.748); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Sabarimala, Kerala, India (17706.000,9.433); Sabarimala, Kerala, India (17706.000,9.433)","Sunny Joseph,82;Ayyappa Sangamam,226;Ayyappa Sangamam,939;Jimmy George,3525;Pinarayi Vijayan,1128;Rahul Gandhi,1179;Rahul Gandhi,1334;Rahul Gandhi,1424;Oommen Chandy,3113",https://th-i.thgim.com/public/incoming/gioyr3/article70775505.ece/alternates/LANDSCAPE_1200/KPCC-president-GDHF9M9MS.3.jpg.jpg,7d624892-9b3f-5014-a553-2413d197e95e
https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/articleshow/129746628.cms,"Endangered wild cat sighted in Jaisalmer , forest dept ramps up monitoring | Jaipur News",20260323T084500Z,timesofindia.indiatimes.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/amp_articleshow/129746628.cms,"https://static.toiimg.com/thumb/msid-129746665,width-1280,height-720,imgsize-54450,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",True,indiatimes.com,-3.60205831903945,3.0,CRISISLEX_T03_DEAD; ENV_SPECIESENDANGERED; KILL,"UNREST_BELLIGERENT,2175;TAX_FNCACT_SHEPHERDS,2703;TAX_FNCACT_SHEPHERDS,3776;CRISISLEX_CRISISLEXREC,3687;CRISISLEX_T02_INJURED,3687;CRISISLEX_T03_DEAD,3687;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,56;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,105;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,227;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,519;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2232;WB_566_ENVIRONMENT_A",16.0,17848.0,26.9167,"Jaisalmer, Rajasthan, India",IN24,"Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Jaisalmer, Rajasthan, India (17848.000,26.917); Ghotaru, Rajasthan, India (17848.000,27.317); Ghotaru, Rajasthan, India (17848.000,27.317); Ghotaru, Rajasthan, India (17848.000,27.317); Ghotaru, Rajasthan, India (17848.000,27.317); Thar Desert, India (General), India (17848.000,26.984); Thar Desert, India (General), India (17848.000,26.984); Thar Desert, India (General), India (17848.000,26.984); Jodhpur, Rajasthan, India (17855.000,26.287)","Devendra Bhati,2292;Sumit Dookia,3057;Devendra Singh Bhati,1010;Ranjit Singh Dholiya,2315","https://static.toiimg.com/thumb/msid-129746665,width-1280,height-720,imgsize-54450,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",ce5bc369-8c92-555e-942d-e0ea2d369754
https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece,Kodagu district accounts for 38 % of State human - wildlife conflict deaths : Minister,20260320T133000Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece/amp/,https://th-i.thgim.com/public/incoming/r56yho/article70765758.ece/alternates/LANDSCAPE_1200/6702_27_10_2025_19_10_54_1_ESHWARKHANDRE.JPG,True,thehindu.com,-1.25628140703518,3.0,ENV_POACHING; KILL,"WB_137_WATER,2042;WB_137_WATER,2172;WB_137_WATER,2195;EPU_CATS_MIGRATION_FEAR_FEAR,229;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,6;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,652;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2189;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2233;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2444;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2521;WB_1777_FORESTS,6;WB_1777_FORESTS,652;WB_",2.0,70159.0,12.9833,"Bengaluru, Karnataka, India",IN19,"Bengaluru, Karnataka, India (70159.000,12.983); Nanjangud, Karnataka, India (70160.000,12.120)","Kodagu Mlas,542;Manoj Kumar,2569;Mantar Gowda,579;Kumar Pushkar,2503;Manoj Rajan,2555;Darshan Dhruvanarayan,611",https://th-i.thgim.com/public/incoming/r56yho/article70765758.ece/alternates/LANDSCAPE_1200/6702_27_10_2025_19_10_54_1_ESHWARKHANDRE.JPG,c7053939-52c9-5680-8837-b1e830534092
https://www.thehindu.com/news/national/maharashtra/41-of-166-tiger-deaths-in-country-last-year-reported-in-maharashtra/article70742772.ece,41 of 166 tiger deaths in country last year reported in Maharashtra,20260314T133000Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/news/national/maharashtra/41-of-166-tiger-deaths-in-country-last-year-reported-in-maharashtra/article70742772.ece/amp/,https://th-i.thgim.com/public/incoming/j76e24/article70743208.ece/alternates/LANDSCAPE_1200/Itinerant-tigerGK4FI4DRI.3.jpg.jpg,True,thehindu.com,-4.53781512605042,3.0,CRISISLEX_T03_DEAD; ENV_POACHING; KILL,"ENV_CLIMATECHANGE,2195;WB_567_CLIMATE_CHANGE,2195;UNGP_CLIMATE_CHANGE_ACTION,2195;EPU_POLICY_POLICY,2978;TAX_FNCACT_PRIME_MINISTER,2515;PROTEST,3086;TAX_FNCACT_ACTIVISTS,3086;GENERAL_GOVERNMENT,109;GENERAL_GOVERNMENT,2120;GENERAL_GOVERNMENT,2616;GENERAL_GOVERNMENT,3849;EPU_POLICY_GOVERNMENT,109;EPU_POLICY_GOVERNMENT,2120;EPU_POLICY_GOVERNMENT,2616;EPU_POLICY_GOVERNMENT,3849;AGRICULTURE,1970;TAX_FN",3.0,17784.0,21.15,"Nagpur, Maharashtra, India",IN16,"Nagpur, Maharashtra, India (17784.000,21.150); Deolapar, Maharashtra, India (17719.000,21.583); Mumbai, Maharashtra, India (70184.000,18.975)","Parinay Fuke,554;Nandakumar Pawar,3627;Sagar Shakti,3643;Narendra Modi,2529;Satyajit Tambe,539;Ganesh Naik,213;Devendra Fadnavis,3449",https://th-i.thgim.com/public/incoming/j76e24/article70743208.ece/alternates/LANDSCAPE_1200/Itinerant-tigerGK4FI4DRI.3.jpg.jpg,909d451e-8118-560f-b101-08cbc1a217e8
https://www.downtoearth.org.in/wildlife-biodiversity/mangala-the-tigress-who-could-not-return-to-the-forest,"Mangala : The Tigress Rescued from the Wild , Now Finds Sanctuary",20260311T123000Z,downtoearth.org.in,English,India,tiger corridor,2025-12-24,2026-03-24,https://www.downtoearth.org.in/amp/story/wildlife-biodiversity/mangala-the-tigress-who-could-not-return-to-the-forest,https://gumlet.assettype.com/downtoearth%2F2026-03-11%2Fcuuh6z8r%2FMangala.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,True,downtoearth.org.in,-2.68977884040646,3.0,AFFECT; CRISISLEX_T03_DEAD; ENV_POACHING; KILL,"TAX_ETHNICITY_TAMIL,6998;TAX_WORLDLANGUAGES_TAMIL,6998;TAX_FNCACT_GUIDE,4373;TAX_FNCACT_GUIDE,5883;TAX_FNCACT_OFFICIALS,1955;TAX_FNCACT_OFFICIALS,2826;TAX_FNCACT_OFFICIALS,5799;TAX_FNCACT_WARDEN,9457;TAX_WORLDLANGUAGES_MANGALA,86;TAX_WORLDLANGUAGES_MANGALA,1788;TAX_WORLDLANGUAGES_MANGALA,2848;TAX_WORLDLANGUAGES_MANGALA,2868;TAX_WORLDLANGUAGES_MANGALA,3473;TAX_WORLDLANGUAGES_MANGALA,3625;TAX_WORLDL",22.0,70248.0,11.35,"Periyar, Tamil Nadu, India",IN25,"Periyar, Tamil Nadu, India (70248.000,11.350); Periyar, Tamil Nadu, India (70248.000,11.350); Periyar, Tamil Nadu, India (70248.000,11.350); Periyar, Tamil Nadu, India (70248.000,11.350); Malappuram, Andaman And Nicobar Islands, India (17545.000,11.783); Karnataka, Karnataka, India (17688.000,13.500); Nilambur, Kerala, India (17873.000,11.283); Tamil Nadu, Tamil Nadu, India (70248.000,11.000); Western Ghats, Karnataka, India (17696.000,14.000); Western Ghats, Karnataka, India (17696.000,14.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Kerala, Kerala, India (17699.000,10.000); Thrissur, Kerala, India (17708.000,10.517); Thrissur, Kerala, India (17708.000,10.517); Thrissur, Kerala, India (17708.000,10.517); Parambikulam, Kerala, India (17867.000,10.383)","Mangala Devi,91;Mangala Devi,1793;Mangala Devi,2873;Mangala Devi,9128;Pramod G Krishnan,9475",https://gumlet.assettype.com/downtoearth%2F2026-03-11%2Fcuuh6z8r%2FMangala.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,5f25a42a-dbeb-5758-8daa-164f82aac7f0
https://www.rediff.com/business/report/3drone-for-elephant-tranquilizing-unveiled/20260303.htm,Elephant Tranquilising Drone : UAV Technology for Wildlife Conflict,20260303T090000Z,rediff.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://m.rediff.com/amp/business/report/3drone-for-elephant-tranquilizing-unveiled/20260303.htm,,True,rediff.com,1.74418604651163,3.0,ENV_POACHING; KILL,"TAX_FNCACT_GOVERNOR,1287;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,336;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,1752;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2053;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,2416;WB_1777_FORESTS,336;WB_1777_FORESTS,1752;WB_1777_FORESTS,2053;WB_1777_FORESTS,2416;WB_590_ECOSYSTEMS,336;WB_590_ECOSYSTEMS,1752;WB_590_ECOSYSTEMS,2053;WB_590_ECOSYSTEMS,2416;UNGP_FORESTS_RIVER",1.0,17699.0,10.0,"Kerala, Kerala, India",IN13,"Kerala, Kerala, India (17699.000,10.000)","Suresh Gopi,1391;Agnishwar Jayaprakash,2706;Rajendra Vishwanath Arlekar,1315",,e33e0784-6bd6-54f3-97a4-edd6f2b3eb2b
https://www.newkerala.com/news/a/andhra-deputy-cm-pawan-kalyan-launches-project-hanuman-479.htm,Andhra Pradesh Launches Project HANUMAN for Wildlife Conflict,20260303T080000Z,newkerala.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,,https://one.newkerala.com/images/t/newkerala-com-news250.webp,True,newkerala.com,-1.34680134680135,3.0,ENV_POACHING; KILL; WOUND,"WB_699_URBAN_DEVELOPMENT,1677;WB_820_DISASTER_RISK_MANAGEMENT,1677;CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,1677;UNGP_FORESTS_RIVERS_OCEANS,304;UNGP_FORESTS_RIVERS_OCEANS,418;UNGP_FORESTS_RIVERS_OCEANS,462;UNGP_FORESTS_RIVERS_OCEANS,545;UNGP_FORESTS_RIVERS_OCEANS,969;UNGP_FORESTS_RIVERS_OCEANS,1741;ENV_CLIMATECHANGE,1170;UNGP_CLIMATE_CHANGE_ACTION,1170;TAX_WORLDLANGUAGES_ANDHRA,28;TAX_WORLDLANGUAGES",2.0,17882.0,10.0167,"Amaravati, Tamil Nadu, India",IN25,"Amaravati, Tamil Nadu, India (17882.000,10.017); Chittoor, Andhra Pradesh, India (17549.000,13.200)","Lok Sabha,1228;Pawan Kalyan,71;Parvathipuram Manyam,187;Shri Kirti Vardhan Singh,1197;Andhra Pradesh Deputy,43",https://one.newkerala.com/images/t/newkerala-com-news250.webp,14aa36f1-bf3f-5d7f-8ee8-6ad753a303b3
https://www.news18.com/agency-feeds/deaths-of-41-tigers-recorded-in-maharashtra-in-2025-minister-9929422.html,Deaths of 41 tigers recorded in Maharashtra in 2025 : Minister,20260225T113000Z,news18.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.news18.com/amp/agency-feeds/deaths-of-41-tigers-recorded-in-maharashtra-in-2025-minister-9929422.html,https://images.news18.com/ibnlive/uploads/2025/05/News18_India_Section_Default_Image_1600x900-2025-05-b4faf46d67a95708181b01e36cf20c4b.jpg,True,news18.com,-2.61194029850746,3.0,CRISISLEX_T03_DEAD; ENV_POACHING; KILL,"MANMADE_DISASTER_IMPLIED,770;MANMADE_DISASTER_IMPLIED,1000;MANMADE_DISASTER_IMPLIED,1082;MANMADE_DISASTER_IMPLIED,1201;MANMADE_DISASTER_IMPLIED,1376;WB_135_TRANSPORT,770;WB_135_TRANSPORT,1000;WB_135_TRANSPORT,1082;WB_135_TRANSPORT,1201;WB_135_TRANSPORT,1376;WB_1803_TRANSPORT_INFRASTRUCTURE,770;WB_1803_TRANSPORT_INFRASTRUCTURE,1000;WB_1803_TRANSPORT_INFRASTRUCTURE,1082;WB_1803_TRANSPORT_INFRASTRUCT",3.0,17763.0,19.95,"Chandrapur, Maharashtra, India",IN16,"Chandrapur, Maharashtra, India (17763.000,19.950); Mumbai, Maharashtra, India (70184.000,18.975); Nagpur, Maharashtra, India (17784.000,21.150)","Ganesh Naik,503",https://images.news18.com/ibnlive/uploads/2025/05/News18_India_Section_Default_Image_1600x900-2025-05-b4faf46d67a95708181b01e36cf20c4b.jpg,a291adb5-6c37-50f9-98ab-7ca9dfeebbd3
https://indianexpress.com/article/technology/tech-news-technology/tech-conservation-rushikesh-chavan-the-habitats-trust-10542679/,"From apes to wolves , we are changing the face of conservation tech : Rushikesh Chavan , Director , The Habitats Trust",20260221T013000Z,indianexpress.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://indianexpress.com/article/technology/tech-news-technology/tech-conservation-rushikesh-chavan-the-habitats-trust-10542679/lite/,https://images.indianexpress.com/2026/02/Rushikesh-Chavan_950059.jpeg,True,indianexpress.com,-0.180831826401447,3.0,ENV_POACHING; KILL,"TAX_ETHNICITY_INDIAN,1765;TAX_ETHNICITY_INDIAN,11449;TAX_ETHNICITY_INDIAN,13537;USPEC_POLICY1,924;USPEC_POLICY1,4217;EPU_POLICY_POLICY,924;EPU_POLICY_POLICY,4217;NATURAL_DISASTER_WILDFIRE,10595;CRISISLEX_T01_CAUTION_ADVICE,10595;UNGP_FORESTS_RIVERS_OCEANS,85;UNGP_FORESTS_RIVERS_OCEANS,189;UNGP_FORESTS_RIVERS_OCEANS,1217;UNGP_FORESTS_RIVERS_OCEANS,1516;UNGP_FORESTS_RIVERS_OCEANS,2619;UNGP_FORESTS_R",3.0,17593.0,26.6,"Kaziranga, Assam, India",IN03,"Kaziranga, Assam, India (17593.000,26.600); Chennai, Tamil Nadu, India (70251.000,13.083); Bengaluru, Karnataka, India (70159.000,12.983)","Venkatesh Kannaiah,240;Venkatesh Kannaiah,1111;Venkatesh Kannaiah,2576;Venkatesh Kannaiah,3672;Venkatesh Kannaiah,5692;Venkatesh Kannaiah,8370;Venkatesh Kannaiah,9819;Venkatesh Kannaiah,10995;Venkatesh Kannaiah,12563;Venkatesh Kannaiah,13378;Hoolock Gibbons,1270;Pradeep Koulgi,2479;Rushikesh Chavan,",https://images.indianexpress.com/2026/02/Rushikesh-Chavan_950059.jpeg,a3b4f68e-790e-585f-baf9-8b7afd7582a6
https://www.dailyexcelsior.com/jjm-liability-worth-rs-1500-cr-pending-1000-posts-in-jsd-referred-to-jkssb-rana/,"JJM liability worth Rs 1500 cr pending , 1000 posts in JSD referred to JKSSB : Rana",20260214T071500Z,dailyexcelsior.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,,https://www.dailyexcelsior.com/wp-content/uploads/2026/02/Javid-Rana-LA-passes-grants-for-Jal-Shakti-Forest-Ecology-Environment-and-Tribal-Affairs-Departments-13.jpeg,True,dailyexcelsior.com,1.22950819672131,3.0,AFFECT; ENV_POACHING; ENV_SPECIESENDANGERED; KILL,"SOC_POINTSOFINTEREST_SCHOOLS,8139;WB_1777_FORESTS,39;WB_1777_FORESTS,175;WB_1777_FORESTS,5370;WB_1777_FORESTS,6117;WB_1777_FORESTS,6594;WB_1777_FORESTS,8880;USPEC_POLICY1,1643;EPU_POLICY_BUDGET,1643;WB_2433_CONFLICT_AND_VIOLENCE,6942;WB_2433_CONFLICT_AND_VIOLENCE,7272;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,6942;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,7272;WB_988_LEVEES,4676;WB_1000_WATER_MANAGEME",12.0,72780.0,32.3667,"Kathua, Jammu And Kashmir, India",IN12,"Kathua, Jammu And Kashmir, India (72780.000,32.367); Jammu, Jammu And Kashmir, India (72851.000,32.733); Jammu, Jammu And Kashmir, India (72851.000,32.733); Jammu, Jammu And Kashmir, India (72851.000,32.733); Jammu, Jammu And Kashmir, India (72851.000,32.733); Jammu, Jammu And Kashmir, India (72851.000,32.733); Jammu, Jammu And Kashmir, India (72851.000,32.733); Wular Lake, Jammu And Kashmir, India (72789.000,34.333); Pahari, Uttar Pradesh, India (70263.000,25.350); Padshahibagh, Jammu And Kashmir, India (72811.000,34.050); Sangam, Karnataka, India (70157.000,16.200); Jambu, Orissa, India (70218.000,20.417)","Javed Ahmed Rana,249;Har Khet Ko Paani,3881;Jal Shakti,166;Jal Shakti,424;Jal Shakti,3193;Jal Shakti,8821;Gopal Sharma,122",https://www.dailyexcelsior.com/wp-content/uploads/2026/02/Javid-Rana-LA-passes-grants-for-Jal-Shakti-Forest-Ecology-Environment-and-Tribal-Affairs-Departments-13.jpeg,a0909145-ac7f-59e6-b6e2-e6b557e12744
